Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Asparagus,6.7,19-27,5.07,15,13,40
Passionfruit,6.5,26-27,8.1,6,6,39
Ginseng,6.4,28-30,0.61,12,5,34
Rosemary,7.0,23-33,7.74,7,9,29
Watercress,5.9,30-33,3.65,6,7,30
Blackberry,6.1,25-27,8.81,5,13,21
Aloe Vera,5.7,24-27,6.81,10,9,29
Sweet Corn,6.3,30-31,0.76,9,5,20
Cranberry,6.3,18-31,5.51,10,13,32
Lemongrass,6.9,30-28,3.73,10,13,27
Yam,5.9,16-34,5.08,6,15,36
Sunflower,6.9,15-27,4.08,7,15,38
Broccoli,6.7,20-33,9.47,8,7,39
Dill,5.8,28-32,6.05,5,8,38
Beets,5.9,23-35,9.51,10,5,38
Vanilla,6.7,28-26,3.62,15,11,21
Dragon Fruit,5.9,20-26,6.23,7,13,27
Dandelion Greens,6.7,23-32,5.21,8,10,39
Jasmine,6.1,29-32,3.67,15,12,19
Coffee,6.3,29-35,8.46,9,13,16
Ginger,5.9,20-35,1.27,14,8,32
Tea,5.8,16-26,1.6,11,12,35
Rosemary,6.7,15-31,2.94,11,5,19
Nutmeg,5.6,23-27,9.48,10,8,32
Betel Leaf,6.6,28-34,3.0,15,5,32
Basil,6.6,16-29,1.51,13,10,26
Acerola Cherry,6.8,22-32,7.45,8,10,16
Star Fruit,6.1,19-32,2.05,5,14,23
Broccoli,6.2,27-35,9.61,10,10,37
Papaya,6.7,29-32,7.83,8,8,30
Star Fruit,6.2,17-35,5.17,5,12,16
Dill,6.1,19-25,7.3,15,13,18
Sage,5.9,16-29,5.49,8,7,35
Moringa,5.6,29-34,1.07,6,6,17
Avocado,5.8,18-32,9.48,6,5,25
Acerola Cherry,7.0,28-28,1.6,12,9,27
Carrots,6.9,29-26,2.43,14,11,15
Kale,6.8,29-28,2.74,5,14,28
Asparagus,5.5,28-29,1.08,10,6,23
Coriander,6.3,18-34,2.15,15,14,40
Hibiscus,7.0,18-35,6.8,13,6,29
Betel Leaf,5.6,25-31,8.39,15,7,18
Lemongrass,6.6,18-28,0.63,15,5,16
Arugula,6.7,23-35,9.07,14,9,21
Mint,5.5,24-32,6.18,5,15,20
Yacon,6.0,23-28,5.21,8,5,26
Chamomile,6.8,25-35,2.15,15,10,15
Pumpkin,6.4,29-28,0.78,8,13,25
Watermelon,6.2,20-25,1.9,8,13,17
Cranberry,6.8,15-32,0.89,12,11,19
Raspberry,6.5,15-30,1.14,14,13,27
Neem,6.3,30-25,7.33,8,14,38
Mango,6.2,23-25,2.86,8,7,39
Fennel,5.9,27-35,0.63,13,8,17
Brussels Sprouts,6.6,19-28,5.35,15,10,39
Peanuts,6.9,24-31,8.73,5,9,35
Betel Leaf,6.9,16-29,1.3,13,6,23
Peanuts,6.4,27-31,2.73,11,15,38
Cucumber,6.8,20-35,7.62,15,11,24
Sapodilla,6.8,17-32,9.15,8,5,34
Curry Leaves,6.1,16-28,6.38,11,8,36
Brussels Sprouts,5.8,17-29,3.13,11,14,26
Wasabi,6.1,15-31,5.3,9,14,27
Artichoke,6.2,24-27,9.14,11,12,38
Dandelion Greens,6.4,23-30,4.67,6,7,30
Kale,6.9,28-32,4.3,13,14,39
Pomegranate,6.5,16-28,1.18,6,12,26
Mulberry,6.9,22-35,7.74,12,10,31
Dragon Fruit,5.8,24-27,3.94,5,15,20
Mustard Greens,6.7,29-34,7.46,11,7,29
Bok Choy,5.9,17-32,9.72,13,8,33
Cauliflower,6.4,28-25,8.42,14,6,32
Gooseberry,5.6,25-34,8.6,11,9,34
Fig,5.8,30-30,7.98,10,6,36
Passionfruit,6.5,21-29,2.21,14,13,27
Acerola Cherry,5.7,29-27,1.02,7,14,34
Tarragon,5.6,17-27,6.71,7,10,23
Ginseng,6.9,24-30,4.8,13,12,35
Fig,6.1,30-35,5.62,11,14,17
Endive,6.0,18-25,7.6,11,11,32
Raspberry,5.9,18-29,4.97,13,12,34
Sage,6.7,23-32,6.79,11,11,16
Lavender,6.0,21-27,5.51,10,12,35
Saffron,6.9,27-31,6.15,8,9,30
Marjoram,6.0,20-35,6.48,10,5,38
Peanuts,6.2,16-32,3.55,12,6,26
Seaweed,6.0,19-34,2.94,8,8,18
Vanilla,6.3,23-28,5.84,7,14,36
Green Onions,6.2,20-31,5.04,6,7,38
Eggplant,5.7,22-29,3.7,11,9,31
Raspberry,6.1,22-28,9.4,14,11,27
Pumpkin,6.3,28-33,2.44,9,7,20
Coconut,6.3,20-32,3.62,5,15,37
Papaya,6.5,29-32,7.38,15,15,38
Dill,6.2,20-26,6.83,8,8,32
Fennel,6.8,22-30,5.56,13,5,26
Raspberry,6.2,22-25,1.81,8,7,20
Watercress,5.7,22-32,7.94,7,6,18
Green Onions,6.6,15-26,5.47,8,12,24
Sapodilla,5.7,27-30,2.69,9,9,28
Chives,5.6,20-30,5.53,14,7,21
Pandan,6.4,29-35,9.55,15,14,34
Ceylon Spinach,5.6,30-34,1.66,5,15,20
Pandan,6.0,27-26,5.02,6,5,28
Lemongrass,6.8,24-26,1.94,7,12,25
Chili Pepper,6.8,23-28,8.99,15,7,20
Fenugreek,6.2,25-25,1.48,11,9,40
Sugarcane,5.8,19-29,0.91,7,15,15
Echinacea,6.2,27-25,6.87,6,5,40
Echinacea,6.7,29-30,7.82,7,6,32
Lavender,5.7,20-26,3.26,7,5,39
Soursop,6.9,18-25,2.79,6,6,26
Snake Gourd,6.7,27-35,1.37,5,5,40
Acerola Cherry,5.8,15-25,7.67,6,10,29
Sugarcane,5.9,21-33,8.93,15,13,25
Swiss Chard,5.6,25-30,0.58,5,13,28
Acerola Cherry,5.8,27-26,1.31,9,12,31
Peas,6.5,19-33,3.98,9,14,17
Broccoli,6.1,20-25,7.26,8,10,18
Cucumber,6.1,29-28,4.84,6,5,29
Ginger,6.2,27-32,0.78,8,5,32
Purslane,5.8,27-32,6.28,13,13,32
Coffee,6.1,19-28,6.98,8,5,18
Broccoli,7.0,28-26,9.12,15,6,26
Pineapple,5.7,24-35,5.96,14,13,33
Guava,5.9,25-26,3.65,13,7,32
Dandelion Greens,5.6,20-27,2.09,12,12,33
Pandan,6.3,16-34,1.16,7,11,20
Dill,6.8,23-33,8.61,9,9,24
Peppermint,6.8,23-34,9.25,10,9,26
Blackberry,6.0,23-32,5.25,13,13,24
Yacon,5.7,17-30,1.14,8,9,38
Horseradish,6.9,20-28,8.44,13,12,39
Chives,6.0,21-29,2.42,6,14,37
Dill,5.7,18-26,1.78,14,14,25
Dragon Fruit,6.2,22-29,1.92,8,11,34
Peanuts,5.6,24-29,3.98,9,5,28
Star Fruit,5.8,24-32,9.77,14,10,17
Turmeric,7.0,17-31,9.98,10,15,26
Kale,6.0,22-32,7.41,5,11,27
Cranberry,7.0,29-31,9.19,5,9,26
Watercress,6.5,22-34,7.12,12,15,31
Dill,6.3,27-26,9.34,15,8,18
Marjoram,6.2,15-28,1.49,9,10,19
Peas,5.7,29-34,7.71,5,9,21
Saffron,5.7,26-25,4.04,10,12,35
Rose Apple,6.1,22-27,0.56,11,10,38
Mushrooms,5.7,16-35,5.65,11,7,28
Nutmeg,6.9,21-32,5.05,7,8,28
Pineapple,6.1,21-31,9.11,8,13,20
Fig,5.9,30-33,8.82,13,12,30
Arugula,5.8,22-35,4.93,11,9,40
Carrots,6.5,30-26,4.62,8,12,28
Radicchio,5.5,15-28,3.29,5,11,39
Chili Pepper,6.2,16-31,1.4,13,15,24
Swiss Chard,5.8,23-28,1.3,6,7,36
Lychee,6.0,22-35,8.87,13,15,21
Fig,6.0,25-33,2.07,7,7,38
Acerola Cherry,6.9,30-28,0.99,14,9,29
Coconut,6.6,25-26,8.35,6,8,40
Radicchio,5.7,19-31,1.16,14,12,34
Fenugreek,6.1,23-27,3.5,15,13,24
Lettuce,5.6,18-33,4.37,11,9,39
Chamomile,6.7,15-25,1.39,9,9,22
Broccoli,6.4,26-32,6.81,15,5,34
Camellia,5.5,15-33,7.64,14,6,19
Brussels Sprouts,6.7,18-35,3.17,15,6,23
Cassava,6.7,18-25,0.53,12,5,25
Rosemary,6.0,30-29,1.25,10,14,29
Sage,6.1,22-30,5.09,10,7,33
Artichoke,6.1,24-25,1.08,13,11,15
Parsley,5.6,16-27,9.54,15,15,23
Zucchini,5.7,23-31,7.21,14,15,20
Bok Choy,6.5,30-26,4.09,9,6,23
Beans,6.6,18-26,6.47,8,13,39
Sugarcane,6.4,15-33,9.66,9,6,20
Jackfruit,6.9,16-27,8.89,15,9,24
Marjoram,6.0,29-26,8.26,13,5,36
Sugarcane,6.0,22-31,3.53,5,12,34
Mango,6.6,24-35,7.78,9,7,16
Melons,5.7,20-32,9.97,15,12,23
Sugarcane,6.5,15-27,7.44,6,8,15
Thyme,5.6,30-33,4.1,10,6,16
Hops,6.8,24-35,7.7,12,13,22
Guava,5.8,16-31,0.85,10,10,30
Fig,6.4,26-26,1.52,10,6,18
Lychee,6.6,28-25,2.84,9,7,17
Green Onions,6.8,18-34,2.41,5,10,32
Mustard Greens,5.5,27-27,6.41,7,5,23
Snake Gourd,6.9,27-30,5.85,10,8,31
Mango,6.6,25-33,7.53,8,11,39
Yam,6.7,28-32,4.44,12,6,40
Peas,5.6,24-33,7.42,9,14,27
Horseradish,6.3,15-26,7.02,10,7,28
Watermelon,6.2,20-30,9.39,7,12,21
Cranberry,6.7,25-33,8.53,13,12,20
Echinacea,6.7,23-31,4.52,12,12,24
Moringa,6.9,17-31,0.93,13,15,32
Mint,6.3,15-31,9.54,11,9,37
Carrots,6.3,27-30,8.43,10,5,36
Green Onions,5.6,26-27,4.47,8,5,34
Spinach,5.9,15-30,9.85,11,11,15
Kiwi,6.8,19-25,9.74,8,13,32
Mushrooms,6.8,27-26,2.74,10,7,28
Green Onions,6.8,17-35,0.51,5,6,37
Pomegranate,5.7,28-27,5.55,6,8,37
Chili Pepper,6.3,30-25,2.73,12,6,17
Blueberry,6.8,16-31,2.42,7,9,19
Spinach,5.6,24-31,5.99,12,14,34
Jackfruit,6.1,25-33,6.82,15,7,37
Sage,6.3,29-26,2.62,13,13,30
Wasabi,6.5,18-25,3.96,5,11,33
Neem,6.1,17-35,7.3,12,11,16
Dill,6.5,26-33,7.29,7,8,35
Pandan,7.0,20-35,9.4,7,14,36
Microgreens,5.7,22-27,1.86,5,13,38
Cauliflower,6.1,17-34,2.48,6,12,16
Luffa,6.6,30-33,4.04,10,7,29
Betel Leaf,5.6,21-32,7.66,8,14,25
Alfalfa,5.7,16-27,7.12,12,7,19
Melons,6.1,20-29,2.47,10,10,39
Soursop,6.4,25-25,2.17,9,7,32
Watercress,6.2,21-30,3.54,13,6,39
Radicchio,5.6,21-25,9.13,9,10,33
Moringa,6.6,25-33,4.79,14,6,40
Raspberry,6.8,15-34,9.5,13,6,17
Moringa,5.7,28-31,8.98,9,14,27
Lettuce,6.1,21-25,6.94,15,7,29
Lettuce,6.4,27-30,5.79,12,5,16
Seaweed,5.7,23-29,2.95,14,10,16
Persimmon,5.8,23-33,5.02,15,5,27
Spinach,6.5,19-30,4.94,5,14,37
Coffee,6.6,24-29,7.8,15,7,18
Pineapple,5.8,18-28,2.17,10,12,21
Spinach,6.8,15-27,2.87,11,12,17
Mustard Greens,5.7,30-34,2.12,10,9,20
Kale,6.1,24-26,3.43,14,6,21
Watermelon,6.1,27-35,3.0,5,10,31
Turmeric,6.4,25-31,8.26,9,6,23
Papaya,6.2,23-30,6.78,14,11,22
Holy Basil,6.0,23-32,0.89,8,13,27
Betel Leaf,6.2,30-25,7.05,6,8,36
Vanilla,6.4,16-28,9.03,10,15,29
Luffa,6.5,20-31,6.06,7,13,30
Mustard Greens,6.1,24-27,1.81,12,6,19
Oregano,6.8,25-30,2.49,5,9,23
Taro,6.3,21-28,1.04,12,7,37
Dragon Fruit,6.4,29-26,6.22,15,7,17
Mint,6.7,18-33,3.28,13,12,31
Guava,6.1,26-27,7.53,10,12,20
Cucumber,6.3,27-25,2.78,9,9,17
Lemongrass,6.1,25-31,4.85,7,9,25
Chili Pepper,5.5,21-31,2.44,14,11,26
Sage,6.3,27-32,7.53,14,5,20
Betel Leaf,6.8,22-26,5.26,7,9,25
Turmeric,6.2,23-32,2.82,8,12,36
Coriander,6.4,17-34,9.63,10,15,23
Holy Basil,5.9,17-31,6.3,15,13,23
Pineapple,6.2,29-34,7.33,6,13,38
Basil,6.0,23-35,8.53,6,13,30
Tarragon,5.9,16-25,2.03,5,6,27
Guava,6.5,29-27,9.75,5,7,33
Parsley,6.8,24-30,5.08,13,14,22
Pumpkin,6.1,23-35,5.46,8,6,23
Asparagus,6.7,21-32,7.16,13,10,38
Basil,5.7,15-30,4.53,11,10,38
Turmeric,6.7,30-33,0.95,14,6,28
Bael,6.0,15-29,6.57,15,10,31
Dragon Fruit,5.8,22-35,7.78,8,9,39
Radicchio,6.4,28-35,7.2,10,12,32
Microgreens,6.2,19-31,4.37,12,12,31
Bael,5.5,27-30,4.71,11,7,18
Broccoli,5.8,15-35,3.17,13,12,26
Watermelon,6.7,26-25,2.93,12,12,23
Sunflower,6.8,29-27,5.23,5,6,19
Pumpkin,5.8,24-25,5.49,6,7,29
Yacon,6.4,28-26,3.93,11,10,34
Coriander,6.8,25-28,6.33,8,11,15
Chamomile,7.0,18-26,4.23,15,6,27
Ceylon Spinach,6.6,27-29,5.29,8,14,23
Tea,5.7,26-35,3.23,15,11,38
Brussels Sprouts,6.8,27-35,7.77,15,6,34
Eggplant,5.6,17-31,5.6,14,6,26
Star Fruit,5.8,20-34,7.31,8,11,38
Stevia,6.7,15-35,4.23,11,8,16
Rose Apple,6.3,28-30,3.38,12,15,23
Dill,6.6,15-34,9.27,7,14,35
Tomato,6.7,22-34,7.69,9,6,31
Sugarcane,5.5,26-26,5.8,6,9,30
Cabbage,5.9,16-25,8.46,14,5,24
Asparagus,6.5,16-30,2.88,9,11,21
Gooseberry,6.2,30-28,6.5,7,6,15
Blackberry,5.6,21-33,7.87,13,11,31
Chamomile,7.0,26-28,7.36,6,5,24
Fenugreek,6.2,28-32,9.57,6,15,21
Mushrooms,5.7,18-28,4.3,9,8,19
Moringa,5.9,22-29,8.7,10,14,32
Chili Pepper,6.2,23-27,7.61,14,6,35
Dill,5.6,17-31,3.22,13,10,29
Acerola Cherry,6.4,30-30,1.17,11,14,21
Lychee,6.7,17-26,2.32,11,6,37
Ceylon Spinach,6.2,28-30,0.87,15,9,26
Kale,5.8,24-34,2.38,12,6,20
Eggplant,6.2,17-34,5.49,13,11,26
Sugarcane,5.5,27-28,6.88,15,12,35
Sage,5.7,20-34,5.89,13,13,31
Parsley,5.8,19-33,8.15,13,11,18
Fennel,6.5,29-32,6.7,12,11,28
Guava,6.4,21-26,2.86,8,15,39
Coconut,6.1,26-28,0.54,13,10,23
Raspberry,6.6,19-26,4.51,11,10,26
Alfalfa,6.5,16-25,9.17,6,13,25
Peas,7.0,24-25,1.18,10,9,39
Ginseng,6.1,26-26,6.04,13,10,18
Coffee,5.9,17-32,6.24,8,10,21
Aloe Vera,5.8,18-29,8.58,15,9,36
Mulberry,6.5,24-29,4.07,8,8,18
Gooseberry,6.9,29-27,8.25,12,8,39
Swiss Chard,6.0,22-27,6.94,15,13,30
Watercress,6.8,21-27,5.66,8,6,27
Hops,6.8,27-26,2.61,15,6,30
Ceylon Spinach,6.2,29-31,7.88,13,11,32
Green Onions,5.9,30-29,1.83,10,13,25
Vanilla,5.9,26-33,5.95,12,7,19
Yacon,5.7,29-26,3.6,5,9,22
Nutmeg,6.0,25-30,1.77,5,15,18
Chives,6.5,30-25,2.59,14,8,31
Broccoli,6.2,30-33,3.8,6,13,40
Jasmine,6.7,24-25,2.98,6,14,15
Fennel,5.7,30-26,5.81,10,7,30
Eggplant,5.7,23-28,7.5,6,9,19
Brussels Sprouts,5.5,27-29,6.74,13,12,29
Gooseberry,6.1,28-33,0.58,15,11,23
Pumpkin,6.1,17-34,5.15,5,6,31
Thyme,5.6,20-35,8.32,6,5,21
Spinach,5.9,24-33,9.99,8,9,19
Dandelion Greens,6.0,21-25,6.81,13,9,32
Aloe Vera,6.6,26-35,5.05,8,11,38
Spinach,6.9,30-27,3.94,7,14,29
Zucchini,5.7,24-27,3.97,6,10,39
Papaya,6.1,25-31,0.67,5,5,19
Dandelion Greens,7.0,17-25,8.9,8,8,34
Celery,6.3,25-33,9.26,10,9,20
Lychee,5.9,28-29,3.24,5,11,33
Broccoli,6.7,22-29,5.36,12,15,15
Chamomile,5.9,20-35,7.32,14,10,27
Lychee,5.8,18-34,3.16,5,5,32
Purslane,6.9,16-35,7.03,14,13,18
Eggplant,6.7,15-31,8.7,15,6,30
Avocado,6.3,19-32,3.48,6,9,16
Guava,5.9,20-25,9.08,15,15,19
Blueberry,6.1,15-28,1.57,12,14,20
Acerola Cherry,5.7,15-26,7.53,10,5,39
Pandan,5.8,27-35,0.65,5,9,34
Eggplant,6.0,27-25,8.19,6,15,26
Cassava,5.5,27-28,5.98,12,9,21
Fig,5.6,25-26,6.93,6,7,24
Tea,5.7,20-33,5.28,13,15,16
Sunflower,5.7,17-29,6.83,8,10,38
Passionfruit,5.9,19-35,9.75,5,7,34
Taro,6.4,22-30,1.63,5,13,19
Sunflower,6.6,20-25,2.84,7,5,26
Pomegranate,6.7,24-27,0.86,7,10,31
Fig,6.5,16-29,5.27,15,15,32
Bitter Gourd,6.4,24-31,6.85,5,10,36
Marjoram,6.0,17-32,4.75,9,10,18
Mango,6.6,17-28,3.74,9,8,24
Celery,6.5,17-34,8.54,10,12,38
Saffron,6.8,24-32,6.17,14,7,31
Mustard Greens,6.9,30-31,9.49,15,13,16
Acerola Cherry,6.1,28-27,3.52,15,11,31
Persimmon,6.8,26-34,7.37,8,6,28
Sapodilla,6.2,15-30,3.19,13,12,26
Passionfruit,6.3,22-32,8.4,6,14,34
Lettuce,6.9,16-29,5.99,7,15,36
Pomegranate,6.9,16-35,3.38,12,14,38
Parsley,6.3,16-30,4.51,6,15,32
Sugarcane,6.8,30-31,2.95,5,12,22
Turmeric,6.9,21-27,7.87,11,13,39
Radicchio,6.3,16-28,0.81,8,14,25
Arugula,6.9,25-28,9.56,10,7,32
Watermelon,6.9,25-31,5.08,11,5,30
Blueberry,5.6,19-26,2.99,14,14,35
Holy Basil,6.1,27-35,4.26,11,12,27
Peppermint,6.6,17-31,7.84,9,13,15
Acerola Cherry,5.6,26-29,1.21,9,8,33
Cauliflower,6.2,20-27,8.39,11,9,25
Purslane,6.2,26-29,5.7,11,12,39
Alfalfa,6.3,30-32,6.42,15,10,38
Chamomile,5.8,17-32,6.05,15,6,27
Sapodilla,5.6,25-25,3.44,5,8,28
Swiss Chard,6.1,21-30,1.12,14,5,32
Asparagus,6.4,30-32,7.02,9,7,18
Nutmeg,6.2,27-33,5.72,7,5,40
Sweet Corn,6.8,29-25,6.84,7,5,35
Swiss Chard,6.7,24-32,4.02,13,9,27
Chamomile,6.6,23-32,2.72,12,6,18
Rosemary,6.6,22-30,9.22,15,9,16
Watercress,6.6,26-32,9.55,9,14,21
Celery,6.7,21-33,8.85,7,9,26
Mango,5.6,17-26,2.65,5,6,40
Neem,6.9,26-28,5.78,9,5,27
Ginger,6.5,17-28,4.5,6,14,21
Jackfruit,6.7,30-35,7.25,14,12,23
Peanuts,6.5,27-28,2.99,12,14,33
Lemongrass,5.9,29-29,2.78,8,6,40
Ginger,5.8,29-30,3.83,7,8,36
Taro,5.6,21-26,5.26,13,5,25
Pumpkin,6.9,24-31,3.46,12,15,30
Rosemary,6.0,24-29,2.57,11,9,35
Peppermint,6.5,24-26,3.72,11,6,38
Oregano,5.9,30-30,3.64,8,9,31
Strawberry,6.8,28-34,4.93,13,10,19
Dandelion Greens,5.8,26-29,8.74,8,11,17
Passionfruit,5.6,24-34,7.64,15,15,29
Lettuce,6.7,18-26,0.7,6,9,19
Curry Leaves,5.7,29-31,9.3,9,13,29
Echinacea,6.4,24-34,4.21,8,5,24
Strawberry,6.7,19-35,7.43,15,8,36
Blueberry,6.7,17-35,2.04,14,14,21
Purslane,6.4,27-28,0.56,9,11,36
Betel Leaf,5.9,19-25,6.45,13,10,15
Watercress,5.6,29-35,6.9,10,10,17
Oregano,5.8,15-27,1.61,15,5,37
Agarwood,6.5,15-30,7.9,15,11,16
Swiss Chard,6.0,23-31,8.8,15,8,39
Ceylon Spinach,5.8,19-30,7.9,12,12,38
Endive,6.2,15-31,6.64,12,11,38
Jackfruit,6.9,19-35,6.41,8,12,30
Cauliflower,6.5,28-30,8.21,6,9,15
Endive,6.1,25-28,8.35,5,14,37
Peppermint,5.5,19-34,5.49,8,12,15
Fenugreek,6.0,19-26,7.13,15,5,22
Pumpkin,5.8,18-28,5.52,11,5,39
Cauliflower,5.6,30-28,2.41,7,11,24
Dragon Fruit,6.5,24-34,7.08,14,9,34
Sage,5.7,30-31,8.69,7,5,26
Dandelion Greens,5.7,20-35,9.51,13,8,32
Watercress,6.0,25-28,0.61,15,11,36
Purslane,6.8,19-29,1.16,9,9,16
Star Fruit,6.2,16-31,2.41,13,6,21
Ginger,6.6,24-26,8.07,7,10,27
Nutmeg,7.0,30-30,4.63,5,11,25
Peppermint,6.3,27-27,9.2,9,10,21
Ceylon Spinach,6.9,30-28,3.69,12,5,17
Neem,6.7,24-32,8.64,9,7,39
Zucchini,5.9,22-30,3.45,15,11,31
Lemongrass,6.1,23-25,8.57,12,7,37
Peppermint,7.0,28-28,7.94,13,12,32
Seaweed,6.5,25-25,1.61,9,14,32
Dandelion Greens,6.6,27-28,2.2,12,12,27
Ceylon Spinach,6.6,20-25,1.85,8,15,24
Ceylon Spinach,7.0,22-30,6.08,6,8,18
Sugarcane,6.6,28-27,1.61,7,8,23
Pumpkin,6.9,22-26,2.89,10,14,39
Brussels Sprouts,6.4,17-35,3.9,12,14,17
Asparagus,6.2,26-32,7.6,13,11,29
Guava,6.5,28-33,7.5,15,15,20
Holy Basil,6.8,24-32,8.07,10,13,20
Guava,6.2,23-28,6.54,14,9,38
Watermelon,5.8,17-35,2.55,10,15,29
Sunflower,6.1,26-34,4.0,9,10,30
Chives,6.8,24-25,1.16,13,12,23
Asparagus,7.0,17-27,9.12,11,12,17
Pomegranate,6.8,16-25,6.91,13,10,17
Sunflower,6.2,25-26,1.3,8,9,31
Lettuce,6.9,30-29,8.59,15,14,31
Wasabi,6.7,28-28,7.95,11,14,29
Neem,5.8,28-28,5.08,9,6,33
Radicchio,6.8,17-33,3.04,5,7,19
Dill,6.8,26-34,8.09,12,15,37
Thyme,5.8,20-26,3.39,12,13,37
Horseradish,6.3,15-33,8.81,6,13,25
Chamomile,6.5,21-26,2.96,11,8,17
Passionfruit,6.3,18-33,3.61,6,14,32
Hops,6.1,20-33,9.42,12,12,24
Tomato,6.8,18-33,1.69,5,11,24
Hibiscus,5.7,16-30,8.46,11,7,22
Yam,6.8,22-27,8.49,7,11,19
Avocado,6.5,29-34,8.44,14,5,35
Mango,6.6,21-26,7.92,10,6,35
Pineapple,5.9,30-28,4.3,8,10,18
Basil,5.9,21-33,2.54,10,15,25
Green Onions,5.8,21-27,0.71,7,8,34
Hibiscus,6.6,20-34,0.68,13,12,33
Soybeans,7.0,15-26,6.09,9,13,25
Swiss Chard,6.8,18-26,3.9,13,12,27
Melons,6.8,26-27,5.95,11,9,36
Peas,5.6,29-30,1.52,8,14,37
Lemongrass,5.9,16-34,6.39,12,7,31
Acerola Cherry,6.2,27-25,5.47,7,9,32
Papaya,6.0,22-27,8.79,5,9,36
Hibiscus,6.8,26-28,8.95,9,6,34
Oregano,6.0,26-25,2.03,6,5,32
Dill,6.3,17-29,1.04,8,10,30
Rosemary,6.0,29-25,5.14,15,13,29
Thyme,5.7,28-34,0.8,10,12,31
Horseradish,6.8,23-33,3.35,15,15,16
Coffee,6.8,26-26,7.44,13,5,30
Wasabi,5.6,18-33,3.96,14,15,15
Pumpkin,5.7,19-31,8.78,14,9,20
Yam,5.9,23-25,7.24,10,8,22
Cranberry,5.6,18-34,1.36,9,12,32
Snake Gourd,6.2,23-33,3.1,15,7,31
Acerola Cherry,6.7,20-31,8.44,5,10,21
Kiwi,6.1,29-33,3.92,15,11,22
Beans,6.1,22-30,5.27,14,13,37
Peanuts,6.0,29-31,2.2,5,10,30
